BGC_LABEL,Num.openings,Area.planted
BAFAun,1324,348495335597484.1
BAFAunp,8,2105711997567.88
BWBSdk,15,3948209995439.775
BWBSmk,1,263213999695.985
BWBSvk,3,789641999087.955
CMA un,629,165561605808774.56
CMA unp,22,5790707993311.67
ESSFmc,84,22109975974462.74
ESSFmcp,85,22373189974158.723
ESSFmk,9,2368925997263.8647
ESSFmkp,36,9475703989055.459
ESSFmv 1,21,5527493993615.685
ESSFmv 3,10,2632139996959.8496
ESSFmvp,9,2368925997263.8647
ESSFun,44,11581415986623.34
ESSFunp,116,30532823964734.258
ESSFwv,21,5527493993615.685
ESSFwvp,132,34744247959870.02
ICH mc 1,5,1316069998479.9248
ICH mc 1a,2,526427999391.97
ICH vc,2,526427999391.97
ICH wc,2,526427999391.97
MH  mm 1,151,39745313954093.734
MH  mm 2,86,22636403973854.707
MH  mmp,381,100284533884170.28
MH  un,7,1842497997871.895
MH  unp,53,13950341983887.205
MH  whp,131,34481033960174.03
SBPSmc,1,263213999695.985
SBS mc 2,35,9212489989359.475
SBS un,14,3684995995743.79
SWB mk,75,19741049977198.875
SWB mks,159,41851025951661.61
SWB un,189,49747445942541.164
SWB uns,333,87650261898763
SWB vk,12,3158567996351.82
SWB vks,13,3421781996047.8047
